id,Reference,Country,lat,long,rfrog,rprey,size,conn,nmodulos,nlink,NODF,mod,h2,dNODF,dmod,dh2,zNODF,zmod,zh2,NODFsig,modsig,h2sig,complete,intens,region,type
64,63,Brazil,"-1,203889","-48,302222",3,15,18,"0,6888888889",,,,,,,,,,,,,,,,,Tropical,Nat
65,64,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
66,65,Brazil,"-14,798611","-52,641944",3,8,11,"0,7083333333",,,,,,,,,,,,,,,,,Tropical,Nat
67,66,,,,,,,,,,,,,,,,,,,,,,,,,
68,67,,,,,,,,,,,,,,,,,,,,,,,,,
69,68,,,,,,,,,,,,,,,,,,,,,,,,,
70,69,Brazil,"-10,666667","-37,416667",3,12,15,"0,5833333333",,,,,,,,,,,,,,,,,Tropical,Nat
71,70,,,,,,,,,,,,,,,,,,,,,,,,,
72,71,Nepal,"28,1","81,566667",5,13,18,"0,7538461538",,,,,,,,,,,,,,,,,Tropical,Mod
73,72,,,,,,,,,,,,,,,,,,,,,,,,,
75,74,Brazil,"-15,589444","-47,696944",6,20,26,"0,475",,,,,,,,,,,,,,,,,Tropical,Nat
76,75,Brazil,-33,"-52,75",3,22,25,"0,6515151515",,,,,,,,,,,,,,,,,Tropical,Nat
77,76,,,,,,,,,,,,,,,,,,,,,,,,,
78,77,Vietnam,12.2011,1.082.833,9,28,37,"0,4682539683",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tropical,Nat
